plot_id,site,treatment,plant_id
1,LDP,N,L1
1,LDP,N,L2
1,LDP,N,L3
1,LDP,N,L4
1,LDP,N,L5
3,LDP,NP,L1
3,LDP,NP,L2
3,LDP,NP,L3
3,LDP,NP,L4
3,LDP,NP,L5
4,LDP,P,L1
4,LDP,P,L2
4,LDP,P,L3
4,LDP,P,L4
4,LDP,P,L5
5,LDP,C1,L1
5,LDP,C1,L2
5,LDP,C1,L3
5,LDP,C1,L4
5,LDP,C1,L5
12,SRR,NP,L1
12,SRR,NP,L2
12,SRR,NP,L3
12,SRR,NP,L4
12,SRR,NP,L5
13,SRR,C1,L1
13,SRR,C1,L2
13,SRR,C1,L3
13,SRR,C1,L4
13,SRR,C1,L5
14,SRR,P,L1
14,SRR,P,L2
14,SRR,P,L3
14,SRR,P,L4
14,SRR,P,L5
15,SRR,N,L1
15,SRR,N,L2
15,SRR,N,L3
15,SRR,N,L4
15,SRR,N,L5
21,MCS,NP,L1
21,MCS,NP,L2
21,MCS,NP,L3
21,MCS,NP,L4
21,MCS,NP,L5
22,MCS,N,L1
22,MCS,N,L2
22,MCS,N,L3
22,MCS,N,L4
22,MCS,N,L5
23,MCS,P,L1
23,MCS,P,L2
23,MCS,P,L3
23,MCS,P,L4
23,MCS,P,L5
24,MCS,C1,L1
24,MCS,C1,L2
24,MCS,C1,L3
24,MCS,C1,L4
24,MCS,C1,L5
26,SME,N,L1
26,SME,N,L2
26,SME,N,L3
26,SME,N,L4
26,SME,N,L5
27,SME,NP,L1
27,SME,NP,L2
27,SME,NP,L3
27,SME,NP,L4
27,SME,NP,L5
28,SME,P,L1
28,SME,P,L2
28,SME,P,L3
28,SME,P,L4
28,SME,P,L5
29,SME,C1,L1
29,SME,C1,L2
29,SME,C1,L3
29,SME,C1,L4
29,SME,C1,L5
31,PWP,N,L1
31,PWP,N,L2
31,PWP,N,L3
31,PWP,N,L4
31,PWP,N,L5
33,PWP,C1,L1
33,PWP,C1,L2
33,PWP,C1,L3
33,PWP,C1,L4
33,PWP,C1,L5
34,PWP,NP,L1
34,PWP,NP,L2
34,PWP,NP,L3
34,PWP,NP,L4
34,PWP,NP,L5
35,PWP,P,L1
35,PWP,P,L2
35,PWP,P,L3
35,PWP,P,L4
35,PWP,P,L5
42,SMW,N,L1
42,SMW,N,L2
42,SMW,N,L3
42,SMW,N,L4
42,SMW,N,L5
43,SMW,P,L1
43,SMW,P,L2
43,SMW,P,L3
43,SMW,P,L4
43,SMW,P,L5
44,SMW,C1,L1
44,SMW,C1,L2
44,SMW,C1,L3
44,SMW,C1,L4
44,SMW,C1,L5
45,SMW,NP,L1
45,SMW,NP,L2
45,SMW,NP,L3
45,SMW,NP,L4
45,SMW,NP,L5
62,EMW,NP,L1
62,EMW,NP,L2
62,EMW,NP,L3
62,EMW,NP,L4
62,EMW,NP,L5
63,EMW,P,L1
63,EMW,P,L2
63,EMW,P,L3
63,EMW,P,L4
63,EMW,P,L5
64,EMW,C1,L1
64,EMW,C1,L2
64,EMW,C1,L3
64,EMW,C1,L4
64,EMW,C1,L5
65,EMW,N,L1
65,EMW,N,L2
65,EMW,N,L3
65,EMW,N,L4
65,EMW,N,L5
66,EME,C1,L1
66,EME,C1,L2
66,EME,C1,L3
66,EME,C1,L4
66,EME,C1,L5
67,EME,N,L1
67,EME,N,L2
67,EME,N,L3
67,EME,N,L4
67,EME,N,L5
68,EME,NP,L1
68,EME,NP,L2
68,EME,NP,L3
68,EME,NP,L4
68,EME,NP,L5
70,EME,P,L1
70,EME,P,L2
70,EME,P,L3
70,EME,P,L4
70,EME,P,L5
71,WTM,C1,L1
71,WTM,C1,L2
71,WTM,C1,L3
71,WTM,C1,L4
71,WTM,C1,L5
73,WTM,NP,L1
73,WTM,NP,L2
73,WTM,NP,L3
73,WTM,NP,L4
73,WTM,NP,L5
74,WTM,P,L1
74,WTM,P,L2
74,WTM,P,L3
74,WTM,P,L4
74,WTM,P,L5
75,WTM,N,L1
75,WTM,N,L2
75,WTM,N,L3
75,WTM,N,L4
75,WTM,N,L5
